,Td,RH,Wind,%iy,id,it,tmr,shadows,tmr-path,shadows-path,utci,area_shdows,si/shab
46,32.3,30,6.0,1997,160,1600,Tmrt_1997_160_1600,Shadow_1997_160_1600,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_160_1600D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_160_1600D.tif,29.074633923621303,30663.0,0.15849393461576514
47,32.0,32,7.4,1997,160,1700,Tmrt_1997_160_1700,Shadow_1997_160_1700,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_160_1700D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_160_1700D.tif,28.25045678469829,43237.0,0.2234876643179675
48,30.7,35,8.2,1997,160,1800,Tmrt_1997_160_1800,Shadow_1997_160_1800,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_160_1800D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_160_1800D.tif,26.115212705133356,64714.0,0.33450009733961533
49,29.3,40,8.2,1997,160,1900,Tmrt_1997_160_1900,Shadow_1997_160_1900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_160_1900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_160_1900D.tif,24.08395969019539,113620.0,0.5872902472374926
50,27.4,43,8.2,1997,160,2000,Tmrt_1997_160_2000,Shadow_1997_160_2000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_160_2000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_160_2000D.tif,20.772754947193224,326852.0,1.689464811565472
51,24.8,48,8.1,1997,160,2100,Tmrt_1997_160_2100,Shadow_1997_160_2100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_160_2100N.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_160_2100N.tif,,0.0,0.0
52,24.8,49,6.3,1997,161,0900,Tmrt_1997_161_0900,Shadow_1997_161_0900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_0900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_0900D.tif,18.68937172553659,29585.0,0.1529218620359199
53,28.0,43,5.5,1997,161,1000,Tmrt_1997_161_1000,Shadow_1997_161_1000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1000D.tif,23.893125850683067,19837.0,0.10253543948644729
54,31.8,35,5.2,1997,161,1100,Tmrt_1997_161_1100,Shadow_1997_161_1100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1100D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1100D.tif,29.346255593456572,13632.0,0.07046242431210613
55,33.6,32,4.4,1997,161,1200,Tmrt_1997_161_1200,Shadow_1997_161_1200,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1200D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1200D.tif,32.33838138804177,10821.0,0.05593265063683249
56,34.1,33,4.2,1997,161,1300,Tmrt_1997_161_1300,Shadow_1997_161_1300,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1300D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1300D.tif,33.26403796461936,10062.0,0.05200945667755369
57,35.0,35,4.2,1997,161,1400,Tmrt_1997_161_1400,Shadow_1997_161_1400,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1400D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1400D.tif,34.57578045336889,12749.0,0.06589828693919023
58,35.8,37,3.3,1997,161,1500,Tmrt_1997_161_1500,Shadow_1997_161_1500,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1500D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1500D.tif,35.92905911076213,20377.0,0.10532664467486698
59,33.3,42,4.2,1997,161,1600,Tmrt_1997_161_1600,Shadow_1997_161_1600,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1600D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1600D.tif,32.03668047520999,30597.0,0.1581527873149583
60,30.2,53,4.2,1997,161,1700,Tmrt_1997_161_1700,Shadow_1997_161_1700,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1700D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1700D.tif,28.29106368422273,43119.0,0.22287773429531282
61,26.1,70,5.0,1997,161,1800,Tmrt_1997_161_1800,Shadow_1997_161_1800,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1800D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1800D.tif,23.005669739149326,64443.0,0.33309932584690843
62,24.0,78,4.1,1997,161,1900,Tmrt_1997_161_1900,Shadow_1997_161_1900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_1900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_1900D.tif,20.9908739574664,112946.0,0.583806409650465
63,23.1,83,3.1,1997,161,2000,Tmrt_1997_161_2000,Shadow_1997_161_2000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_2000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_2000D.tif,20.924617060048327,323223.0,1.6707068789195922
64,22.6,87,2.5,1997,161,2100,Tmrt_1997_161_2100,Shadow_1997_161_2100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_161_2100N.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_161_2100N.tif,,0.0,0.0
