%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1997 158 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 8.1 55 25.2 -999.0 -999.0 818 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 35 950 250
1997 158 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 8.4 48 26.9 -999.0 -999.0 893 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 28 972 260
1997 158 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 8.5 35 28.0 -999.0 -999.0 923 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 19 989 260
1997 158 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 8.4 35 28.7 -999.0 -999.0 910 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 31 982 250
1997 158 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 8.5 31 29.5 -999.0 -999.0 852 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 46 968 260
1997 158 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 8.3 34 28.8 -999.0 -999.0 729 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 46 932 250
1997 158 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 7.3 42 27.2 -999.0 -999.0 564 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 42 869 260
1997 158 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.3 54 24.5 -999.0 -999.0 372 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 32 761 260
1997 158 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.5 64 21.4 -999.0 -999.0 211 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 50 569 260
1997 158 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.5 76 19.8 -999.0 -999.0 92 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 92 0 260
1997 158 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.2 85 19.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
1997 158 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 90 18.6 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
1997 158 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.2 94 18.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 260
1997 158 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.2 95 17.5 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 260
1997 159 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 97 17.5 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 260
1997 159 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 96 17.5 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
1997 159 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.8 95 17.3 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
1997 159 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.5 95 17.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 290
1997 159 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.5 91 17.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 300
1997 159 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.5 87 17.3 -999.0 -999.0 39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 39 0 310
1997 159 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.4 81 17.4 -999.0 -999.0 156 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 156 0 310
1997 159 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.5 79 18.0 -999.0 -999.0 313 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 313 0 240
1997 159 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.4 77 18.2 -999.0 -999.0 508 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 260
1997 159 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.4 76 18.9 -999.0 -999.0 692 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 159 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.3 73 19.3 -999.0 -999.0 833 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 350
1997 159 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.5 72 19.8 -999.0 -999.0 903 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 320
1997 159 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.9 70 20.5 -999.0 -999.0 900 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 330
1997 159 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.9 70 20.6 -999.0 -999.0 841 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 340
1997 159 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.9 70 20.6 -999.0 -999.0 779 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 320
1997 159 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.7 71 20.3 -999.0 -999.0 657 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 920 340
1997 159 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.7 74 19.5 -999.0 -999.0 505 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 862 340
1997 159 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.4 78 19.3 -999.0 -999.0 328 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 756 340
1997 159 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.4 81 18.5 -999.0 -999.0 165 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 5 564 340
1997 159 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.1 82 18.1 -999.0 -999.0 35 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 24 93 330
1997 159 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.5 82 17.9 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 330
1997 159 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.5 82 17.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 350
1997 159 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.5 82 16.3 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 20
1997 159 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.3 83 16.1 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 30
